Global Inputs
Study Type,Direct Sun - Day
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.5,0.5,0.75,0.75,1,1,1,1.25,1.25,1.5,1.5,1.75,1.5,1.5,1.5,1.5,1.5,1.5,1.25,1.5,1.5,1.25,1.25,1,1,0.75,0.75,0.75,0.5,0.5,0.25,0.25,0.25,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.5,0.5,0.75,0.75,1,1,1,1.25,1.25,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.25,1.5,1.25,1.25,1.5,1.25,1.25,1,1,1,0.75,0.75,0.5,0.5,0.5,0.25,0.25,0.25,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.5,0.5,0.75,0.75,0.75,1,1,1.25,1.25,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.25,1.5,1.5,1.25,1.25,1,1,0.75,0.75,0.75,0.5,0.5,0.25,0.25,0.25,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.5,0.5,0.5,0.75,0.75,1,1,1.25,1.25,1.25,1.5,1.5,1.5,1.5,1.25,1.5,1.5,1.25,1.5,1.25,1.25,1,1,1,0.75,0.75,0.5,0.5,0.5,0.25,0.25,0.25,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.5,0.5,0.5,0.75,0.75,1,1,1.25,1.25,1.25,1.5,1.5,1.5,1.5,1.25,1.5,1.5,1.25,1.5,1.25,1.25,1,1,1,0.75,0.75,0.5,0.5,0.5,0.25,0.25,0.25,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.5,0.5,0.5,0.75,0.75,1,1,1,1.25,1.25,1.5,1.5,1.25,1.5,1.25,1.5,1.5,1.25,1.5,1.25,1.25,1.25,1,1,0.75,0.75,0.75,0.5,0.5,0.25,0.25,0.25,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.5,0.5,0.5,0.75,0.75,1,1,1,1.25,1.25,1.5,1.5,1.25,1.5,1.25,1.25,1.5,1.25,1.25,1.25,1.25,1.25,1,1,0.75,0.75,0.75,0.5,0.5,0.5,0.25,0.25,0.25,0,0
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,0.5,0.75,0.75,1,1,1,1.25,1.25,1.25,1.5,1.25,1.5,1.5,1.25,1.5,1.25,1.25,1.25,1.25,1.25,1,1,1,0.75,0.75,0.5,0.5,0.5,0.25,0.25,0.25,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,0.5,0.75,0.75,0.75,1,1,1.25,1.25,1.25,1.5,1.25,1.25,1.5,1.25,1.25,1.25,1.25,1.25,1,1,0.75,0.75,0.75,0.5,0.5,0.5,0.25,0.25,0.25,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,0.5,0.75,0.75,0.75,1,1,1.25,1.25,1.25,1.5,1.25,1.25,1.5,1.25,1.25,1.25,1.25,1.25,1,1,0.75,0.75,0.75,0.5,0.5,0.5,0.25,0.25,0.25,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,0.5,0.75,0.75,0.75,1,1,1.25,1.25,1.25,1.5,1.25,1.25,1.5,1.25,1.25,1.25,1.25,1.25,1,1,0.75,0.75,0.75,0.5,0.5,0.5,0.25,0.25,0.25,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,0.5,0.75,0.75,0.75,1,1,1,1.25,1.25,1.5,1.25,1.25,1.5,1.25,1.25,1,1.25,1.25,1,1,1,0.75,0.75,0.5,0.5,0.5,0.25,0.25,0.25,0.25,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,0.5,0.75,0.75,0.75,1,1,1,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1,1.25,1.25,1,1,1,0.75,0.75,0.75,0.5,0.5,0.5,0.25,0.25,0.25,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,0.5,0.5,0.75,0.75,1,1,1,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1,1,1,0.75,0.75,0.75,0.5,0.5,0.5,0.25,0.25,0.25,0,0,0

Case 2 Hours of Sun Floor Grid ASCII-art (length x depth)
depth, 60,59,58,57,56,55,54,53,52,51,50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
1, , , , , , , , , , , , , , , , , , , , , , , ,•,▪,▪,▪,▪,▪,▬,▬,▬,▬,▬,▬,▬,▬,-,.,., ,.,., , , , , , , , , , , , , , , , , 
2, , , , , , , , , , , , , , , , , , , , , , , ,=,•,•,▪,▪,▪,▪,▪,▪,▪,▪,▪,▪,▬,=,-,.,.,.,.,., , , , , , , , , , , , , , , , 
3, , , , , , , , , , , , , , , , , , , , , , , ,-,=,•,•,•,▪,▪,▪,▪,▪,▪,▪,▪,▪,•,-,-,.,.,.,.,.,.,.,., , , , , , , , , , , , 
4, , , , , , , , , , , , , , , , , , , , , , , ,-,=,=,•,•,•,▪,▪,▪,▪,▪,▪,▪,▪,•,=,-,-,.,.,.,.,.,.,., ,.,.,., , , , , , , , 
5, , , , , , , , , , , , , , , , , , , , , , , ,.,-,=,•,•,•,•,•,▪,▪,▪,▪,▪,▪,•,=,-,-,-,-,.,.,.,.,.,.,.,., , , , ,., , , , 
6, , , , , , , , , , , , , , , , , , , , , , , ,.,-,=,=,•,•,•,•,•,•,▪,▪,▪,▪,•,=,=,-,-,-,.,.,.,.,.,.,.,.,.,., , , , , , , 
7, , , , , , , , , , , , , , , , , , , , , , , ,.,-,-,=,=,•,•,•,•,•,•,•,▪,▪,•,=,=,-,-,-,-,.,.,.,.,.,.,.,.,.,.,.,., , , , 
8, , , , , , , , , , , , , , , , , , , , , , , ,.,-,-,=,=,=,•,•,•,•,•,•,•,▪,•,=,=,-,-,-,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., 
9, , , , , , , , , , , , , , , , , , , , , , , ,.,.,-,-,=,=,=,•,•,•,•,•,•,•,•,=,=,-,-,-,-,.,.,.,.,.,.,.,.,.,.,.,., , ,.,.
10, , , , , , , , , , , , , , , , , , , , , , , ,.,.,-,-,=,=,=,•,•,•,•,•,•,•,•,=,=,=,-,-,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., , 
11, , , , , , , , , , , , , , , , , , , , , , , ,.,.,-,-,-,=,=,=,•,•,•,•,•,•,•,=,=,-,-,-,-,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
12, , , , , , , , , , , , , , , , , , , , , , , ,.,.,-,-,-,=,=,=,=,•,•,•,•,•,•,=,=,=,-,-,-,-,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
13, , , , , , , , , , , , , , , , , , , , , , , ,.,.,.,-,-,-,=,=,=,=,•,•,•,•,=,=,=,-,-,-,-,.,-,.,.,.,.,.,.,.,.,.,.,.,.,.,.
14, , , , , , , , , , , , , , , , , , , , , , , ,.,.,.,-,-,-,=,=,=,=,=,•,•,•,=,=,=,=,-,-,-,-,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
15, , , , , , , , , , , , , , , , , , , , , , , ,.,.,.,-,-,-,=,=,=,=,=,•,•,•,=,=,=,-,-,-,-,-,-,.,.,.,.,.,.,.,.,.,.,.,.,.,.
16, , , , , , , , , , , , , , , , , , , , , , , ,.,.,.,-,-,-,-,=,=,=,=,=,•,•,=,=,=,-,-,-,-,-,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
17, , , , , , , , , , , , , , , , , , , , , , , ,.,.,.,.,-,-,-,=,=,=,=,=,=,•,=,=,=,-,-,-,-,-,-,.,.,.,.,.,.,.,.,.,.,.,.,.,.
18, , , , , , , , , , , , , , , , , , , , , , , , ,.,.,.,-,-,-,-,=,=,=,=,=,=,=,=,=,-,-,-,-,-,-,.,.,.,.,.,.,.,.,.,.,.,.,.,.
19, , , , , , , , , , , , , , , , , , , , , , , , ,.,.,.,-,-,-,-,=,=,=,=,=,=,=,=,=,-,-,-,-,-,.,-,.,.,.,.,.,.,.,.,.,.,.,.,.
20, , , , , , , , , , , , , , , , , , , , , , , , ,.,.,.,-,-,-,-,-,=,=,=,=,=,=,=,=,-,-,-,-,-,-,.,.,.,.,.,.,.,.,.,.,.,.,.,.
21, , , , , , , , , , , , , , , , , , , , , , , , ,.,.,.,.,-,-,-,-,=,=,=,=,=,=,=,=,=,-,-,-,-,-,.,.,.,.,.,.,.,.,.,.,.,.,.,.
22, , , , , , , , , , , , , , , , , , , , , , , , ,.,.,.,.,-,-,-,-,-,=,=,=,=,=,=,=,=,-,-,-,-,.,-,.,.,.,.,.,.,.,.,.,.,.,.,.
23, , , , , , , , , , , , , , , , , , , , , , , , ,.,.,.,.,-,-,-,-,-,=,=,=,=,=,=,=,-,-,-,-,-,-,.,.,.,.,.,.,.,.,.,.,.,.,.,.
24, , , , , , , , , , , , , , , , , , , , , , , , ,.,.,.,.,-,-,-,-,-,-,=,=,=,=,=,=,-,-,-,-,-,-,.,.,.,.,.,.,.,.,.,.,.,.,.,.
25, , , , , , , , , , , , , , , , , , , , , , , , ,.,.,.,.,.,-,-,-,-,-,=,=,=,=,=,-,-,-,-,-,-,-,-,.,.,.,.,.,.,.,.,.,.,.,.,.
26, , , , , , , , , , , , , , , , , , , , , , , , ,.,.,.,.,.,-,-,-,-,-,-,=,=,=,=,-,-,-,-,-,-,-,-,.,.,.,.,.,.,.,.,.,.,.,.,.
27, , , , , , , , , , , , , , , , , , , , , , , , ,.,.,.,.,.,-,-,-,-,-,-,=,=,=,-,-,-,-,-,-,-,-,-,.,.,.,.,.,.,.,.,.,.,.,.,.
28, , , , , , , , , , , , , , , , , , , , , , , , ,.,.,.,.,.,-,-,-,-,-,-,-,=,=,-,-,-,-,-,-,-,-,-,-,.,.,.,.,.,.,.,.,.,.,., 
29, , , , , , , , , , , , , , , , , , , , , , , , ,.,.,.,.,.,-,-,-,-,-,-,-,=,-,-,-,-,-,-,-,-,-,-,-,.,.,.,.,.,.,.,.,.,.,.,.
30, , , , , , , , , , , , , , , , , , , , , , , , ,.,.,.,.,.,.,-,-,-,-,-,-,=,-,-,-,-,-,-,-,-,-,-,-,-,.,.,.,.,.,.,.,., , , 
31, , , , , , , , , , , , , , , , , , , , , , , , ,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,.,.,.,.,.,.,.,.,., , 
32, , , , , , , , , , , , , , , , , , , , , , , , ,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,.,.,.,.,.,.,.,.,.,., 
33, , , , , , , , , , , , , , , , , , , , , , , , ,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,.,-,.,.,.,.,.,.,.,.,.,.
34, , , , , , , , , , , , , , , , , , , , , , , , ,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,.,.,.,.,.,.,.,.,., , , 
35, , , , , , , , , , , , , , , , , , , , , , , , ,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,.,.,.,.,.,.,.,.,., , 
36, , , , , , , , , , , , , , , , , , , , , , , , , ,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,.,-,.,.,.,.,.,.,.,.,.,., 
37, , , , , , , , , , , , , , , , , , , , , , , , , ,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,.,.,.,.,.,.,.,.,., , , , 
38, , , , , , , , , , , , , , , , , , , , , , , , , ,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,.,.,.,.,.,.,.,.,., , , 
39, , , , , , , , , , , , , , , , , , , , , , , , , ,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,.,.,.,.,.,.,.,.,., , , 
40, , , , , , , , , , , , , , , , , , , , , , , , , ,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,.,.,.,.,.,.,.,.,., , , , , 
41, , , , , , , , , , , , , , , , , , , , , , , , , ,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,.,.,.,.,.,.,.,.,.,., , , , 
42, , , , , , , , , , , , , , , , , , , , , , , , , ,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,.,.,.,.,.,.,.,.,., , , , 
43, , , , , , , , , , , , , , , , , , , , , , , , , ,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,.,-,.,.,.,.,.,.,.,.,.,., , , 
44, , , , , , , , , , , , , , , , , , , , , , , , , ,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,.,.,.,.,.,.,.,.,., , , , , , 
45, , , , , , , , , , , , , , , , , , , , , , , , , ,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,.,.,.,.,.,.,.,.,.,., , , , , 
46, , , , , , , , , , , , , , , , , , , , , , , , , ,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,.,-,.,.,.,.,.,.,.,.,.,., , , , , 
47, , , , , , , , , , , , , , , , , , , , , , , , , ,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,.,-,-,.,.,.,.,.,.,.,.,., , , , , 
48, , , , , , , , , , , , , , , , , , , , , , , , , ,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,.,-,.,.,-,.,.,.,.,.,.,.,.,.,., , , , 
49, , , , , , , , , , , , , , , , , , , , , , , , , ,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,.,-,-,.,.,.,.,.,.,.,.,., , , , , , , 
50, , , , , , , , , , , , , , , , , , , , , , , , , ,.,.,.,.,.,.,.,.,.,.,-,-,-,-,.,-,-,.,-,.,.,.,.,.,.,.,.,.,., , , , , , 
51, , , , , , , , , , , , , , , , , , , , , , , , , ,.,.,.,.,.,.,.,.,.,.,-,-,-,-,.,-,-,.,-,.,.,.,.,.,.,.,.,.,., , , , , , 
52, , , , , , , , , , , , , , , , , , , , , , , , , ,.,.,.,.,.,.,.,.,.,.,-,-,.,-,.,-,-,.,-,.,.,.,.,.,.,.,.,.,., , , , , , 
53, , , , , , , , , , , , , , , , , , , , , , , , , ,.,.,.,.,.,.,.,.,.,.,-,-,.,-,.,.,-,.,.,.,.,.,.,.,.,.,.,.,.,., , , , , 
54, , , , , , , , , , , , , , , , , , , , , , , , , , ,.,.,.,.,.,.,.,.,.,.,-,.,-,-,.,-,.,.,.,.,.,.,.,.,.,.,.,.,., , , , , 
55, , , , , , , , , , , , , , , , , , , , , , , , , , ,.,.,.,.,.,.,.,.,.,.,-,.,.,-,.,.,.,.,.,.,.,.,.,.,.,.,., , , , , , , 
56, , , , , , , , , , , , , , , , , , , , , , , , , , ,.,.,.,.,.,.,.,.,.,.,-,.,.,-,.,.,.,.,.,.,.,.,.,.,.,.,., , , , , , , 
57, , , , , , , , , , , , , , , , , , , , , , , , , , ,.,.,.,.,.,.,.,.,.,.,-,.,.,-,.,.,.,.,.,.,.,.,.,.,.,.,., , , , , , , 
58, , , , , , , , , , , , , , , , , , , , , , , , , , ,.,.,.,.,.,.,.,.,.,.,-,.,.,-,.,.,.,.,.,.,.,.,.,.,.,.,., , , , , , , 
59, , , , , , , , , , , , , , , , , , , , , , , , , , ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., , , , , , 
60, , , , , , , , , , , , , , , , , , , , , , , , , , ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., , , , , , 
